# DeltaF, Fb, t0, u0, tE, rho, Pb, mu_b, sig_b
0.753674 0.227496 7884.21 0.266723 34.6183 0.0450965 0.524401 0.211001 0.101499
0.754344 0.228262 7884.19 0.258406 35.2 0.0431245 0.520303 0.210423 0.101412
0.6306 0.262404 7882.46 0.151431 64.758 0.00156766 0.507292 0.171511 0.0813192
0.751115 0.228263 7884.17 0.261598 35.1326 0.0441821 0.520709 0.210035 0.101053
0.891132 0.211631 7883.81 0.04915 140.285 0.0146025 0.599084 0.218665 0.107196
0.742417 0.228242 7884.11 0.283767 33.5699 0.0482971 0.528804 0.21021 0.101497
0.754784 0.229128 7884.19 0.263374 34.7332 0.0425544 0.517868 0.209691 0.100702
0.751045 0.22856 7884.2 0.278333 33.5216 0.047297 0.525174 0.210119 0.10109
0.0853668 0.182954 7141.89 0.774351 192.163 0.00478653 0.968974 0.448766 0.219307
0.757087 0.227833 7884.23 0.257987 35.315 0.0409675 0.516765 0.210394 0.101407
0.754669 0.22835 7884.19 0.266436 34.4857 0.0437654 0.524301 0.209572 0.101497
0.753512 0.227928 7884.2 0.268614 34.4327 0.0442887 0.520152 0.210089 0.101586
0.0334257 0.197275 7202.2 0.555685 254.433 0.0459126 0.883475 0.390123 0.362231
0.74579 0.228186 7884.1 0.277704 34.1128 0.0454688 0.523345 0.209977 0.101793
0.753301 0.228825 7884.13 0.265107 34.6077 0.0425404 0.520458 0.209936 0.101054
0.756958 0.227892 7884.2 0.266113 34.5463 0.0444879 0.522312 0.209929 0.10073
0.754503 0.228805 7884.07 0.271003 34.5073 0.0442863 0.518753 0.209372 0.101203
0.740558 0.229479 7884.14 0.297842 32.5235 0.0517446 0.528188 0.208076 0.100775
0.11388 0.667092 7567.6 1.07007 83.7641 0.00722704 0.297621 0.352444 0.312353
0.747356 0.226135 7884.07 0.264974 35.0441 0.0110747 0.529384 0.212558 0.102992
0.11287 0.214209 7101.47 0.873839 17.4898 0.00129838 0.703537 0.399531 0.291922
0.71713 0.229559 7883.42 0.497762 24.1753 0.00184574 0.531776 0.216717 0.0994494
0.670932 0.227904 7894.57 0.926632 7.96836 0.00366247 0.861447 0.513956 0.300246
0.499868 0.69863 7073.74 0.907707 339.896 0.000985952 0.0165989 0.242617 0.0768713
0.78402 0.241626 7884.1 0.140525 50.5151 0.00401916 0.562749 0.192364 0.0923229
0.839177 0.219747 7885.01 0.273376 24.8815 0.0232354 0.902345 0.201512 0.289679
0.785876 0.247342 7884.1 0.105078 60.777 0.000791033 0.484661 0.186855 0.0840131
0.732874 0.167192 7877.3 0.6192 30.7571 0.00520514 0.0926197 0.234661 0.10991
0.755799 0.222296 7884.17 0.268312 34.9806 0.011238 0.518756 0.21121 0.10227
0.608864 0.214097 7898.7 0.52875 10.1565 0.0225698 0.853125 0.480059 0.404246
0.745763 0.227058 7884.11 0.293831 32.4222 0.00664143 0.560435 0.2198 0.102822
0.73774 0.172674 7882.83 0.03627 275.858 0.0116033 0.486659 0.225965 0.0839685
0.739969 0.228713 7884 0.309219 31.4665 0.0128297 0.541156 0.208117 0.100911
0.877901 0.22759 7521.19 1.0197 7.24939 0.0203582 0.922347 0.0678822 0.745734
0.618767 0.264326 7883.24 0.5037 26.0355 0.00547515 0.4792 0.192625 0.0738847
0.737976 0.213426 7885.54 1.13018 12.5196 0.00285743 0.693096 0.189907 0.158849
0.858279 0.212352 7885.53 0.0602513 98.8488 0.0156601 0.433183 0.227977 0.0902007
0.162598 0.117302 7170.77 0.13032 170.552 0.00773222 0.700136 0.557362 0.185438
0.85181 0.226306 7884.91 0.0747427 88.4083 0.00734818 0.640589 0.196382 0.107025
0.732461 0.228462 7884.04 0.323457 31.2239 0.0552931 0.529209 0.210572 0.101678
0.734717 0.2562 7881.44 0.366749 31.6529 0.0100111 0.552385 0.198371 0.0871513
0.745914 0.227785 7884.19 0.314599 31.0663 0.0565766 0.526884 0.209843 0.101132
0.652594 0.183528 7864.83 1.28054 47.2879 0.0142166 0.345388 0.19212 0.0801083
0.0462733 0.190211 7098.95 0.986092 132.518 0.00304771 0.897896 0.719913 0.272804
0.931798 0.247561 7379.61 0.419355 24.703 0.00209948 0.763929 0.266851 0.161027
0.407582 0.155717 7191.9 0.377659 274.325 0.00265556 0.439531 0.236832 0.185015
0.716859 0.231464 7883.88 0.335448 30.7328 0.0109849 0.519363 0.203353 0.104194
0.897392 0.371934 7904.94 0.0686622 349.357 0.0138641 0.00927972 0.304166 0.129652
0.754223 0.225767 7884.21 0.281078 33.3184 0.0198479 0.528809 0.213086 0.103011
