#  DeltaF, Fb, t0, u0, tE, rho
# 
8.133000000000000229e-01 2.175799999999999956e-01 7.886420000000000073e+03 1.452509999999999968e+00 7.571629999999999860e+00 7.878129999999999855e-02
9.420899999999999830e-01 2.200459999999999916e-01 7.886359999999999673e+03 1.424539999999999917e+00 7.026950000000000252e+00 1.522319999999999923e-02
9.627949999999999564e-01 2.129350000000000132e-01 7.885579999999999927e+03 7.751379999999999937e-01 9.345579999999999998e+00 9.133290000000000505e-03
8.547050000000000480e-01 2.127130000000000132e-01 7.886119999999999891e+03 1.465780000000000083e+00 7.249819999999999709e+00 6.168579999999999897e-03
9.411479999999999846e-01 2.125759999999999872e-01 7.885180000000000291e+03 1.415759999999999907e+00 6.288569999999999993e+00 1.151480000000000038e-02
9.623829999999999885e-01 2.166440000000000032e-01 7.886310000000000400e+03 1.166870000000000074e+00 7.944639999999999702e+00 1.144930000000000080e-02
8.663469999999999782e-01 2.173680000000000057e-01 7.885350000000000364e+03 9.765610000000000124e-01 8.739670000000000272e+00 3.417569999999999983e-03
9.418100000000000360e-01 2.144639999999999880e-01 7.885810000000000400e+03 1.251009999999999955e+00 7.491749999999999687e+00 3.328929999999999910e-03
9.762600000000000167e-01 2.207320000000000115e-01 7.885649999999999636e+03 6.185570000000000235e-01 1.071850000000000058e+01 8.489069999999999819e-04
9.883729999999999460e-01 2.211029999999999940e-01 7.885710000000000036e+03 1.070070000000000077e+00 7.500899999999999679e+00 3.316160000000000180e-04
9.303270000000000151e-01 2.136679999999999968e-01 7.886279999999999745e+03 7.762019999999999476e-01 1.030729999999999968e+01 2.499920000000000093e-03
9.664000000000000368e-01 2.105779999999999874e-01 7.886079999999999927e+03 4.892730000000000135e-01 1.260060000000000002e+01 3.832749999999999786e-03
9.528680000000000483e-01 2.111429999999999974e-01 7.885420000000000073e+03 1.425820000000000087e+00 6.287869999999999848e+00 5.082739999999999654e-03
9.846880000000000077e-01 2.204810000000000103e-01 7.885649999999999636e+03 1.269069999999999920e+00 6.587889999999999802e+00 8.478680000000000591e-03
9.540419999999999456e-01 2.112279999999999991e-01 7.885640000000000327e+03 1.306850000000000067e+00 6.653889999999999638e+00 7.390899999999999727e-03
