# DeltaF, Fb, t0, u0, tE, rho
0.428223 0.211134 7893.63 1.38298 11.3659 0.0264693
0.475131 0.20959 7893.25 1.06341 12.9477 0.0149271
0.534247 0.210438 7894.49 0.532491 18.5196 0.00445401
0.452307 0.21422 7892.81 1.49997 10.5643 0.00157196
0.860678 0.185378 7292.59 0.0507386 157.215 0.0183534
0.415465 0.212504 7891.13 1.12667 14.4549 0.00572443
0.473891 0.221783 7889.52 0.962971 14.2267 0.00735786
0.451788 0.214173 7892.86 1.4838 10.6285 0.00164811
0.451077 0.214225 7892.95 1.49073 10.5826 0.0204969
0.44494 0.213955 7893.41 1.48589 10.7272 0.0133351
0.273694 0.233401 7908.21 0.102355 10.6906 0.00177736
0.452338 0.214228 7892.82 1.49999 10.5666 0.0115802
0.441187 0.213564 7892.65 1.41329 11.7585 0.0348215
0.452029 0.214246 7892.85 1.49975 10.5536 0.00595179
0.453654 0.214275 7892.8 1.49986 10.553 0.00952856
0.0198729 0.225192 7646.69 0.647514 292.873 0.000501745
0.58479 0.164109 7275.56 0.30985 37.9436 0.0018074
0.436288 0.206371 7893.03 0.948058 14.8747 0.00370821
0.26452 0.229109 7871.43 0.00932982 124.105 0.00947851
0.452288 0.214213 7892.82 1.49994 10.5563 0.0334475
0.452357 0.214245 7892.81 1.49999 10.5652 0.00881954
0.452811 0.214491 7892.7 1.49886 10.5682 0.000258182
0.126941 0.170256 7324.37 1.0416 201.913 0.00111392
0.0622355 0.214779 7473.32 1.17539 168.976 0.00398829
0.451732 0.21413 7892.8 1.49908 10.5794 0.00265707
0.453251 0.214034 7892.88 1.49245 10.7098 0.00492147
0.457514 0.214614 7892.85 1.49954 10.2848 0.0102757
0.452316 0.214282 7892.83 1.49992 10.5685 0.0376155
0.453038 0.214017 7892.78 1.49494 10.5759 0.00867458
0.94939 0.221708 7885.79 0.955862 8.93323 0.0118581
0.519715 0.22648 7891.18 0.548173 15.3256 0.0367707
0.563473 0.0741581 7453.78 1.28322 140.825 0.00113306
0.450717 0.214425 7892.95 1.49091 10.5491 0.000647714
0.637422 0.215817 7889.29 0.354962 21.1568 0.0194108
0.0359412 0.192566 7198.57 0.591067 141.338 0.0166601
0.604676 0.227269 7887.69 0.812664 14.3453 0.0152714
0.454527 0.213765 7892.82 1.49168 10.6374 0.0103295
0.451218 0.214277 7892.84 1.49989 10.5696 0.00620198
0.470489 0.218688 7891.99 1.49222 9.94555 0.00413149
0.705779 0.212018 7888.77 0.686134 9.36125 0.000835017
0.914053 0.225144 7884.47 1.34302 6.65559 0.000156879
0.460825 0.213975 7892.42 1.49964 10.6607 0.00682115
0.452395 0.214229 7892.82 1.49997 10.5633 0.00112213
0.45226 0.214238 7892.83 1.49999 10.5662 0.000643219
0.962329 0.225995 7885.78 1.1902 7.37378 0.00298909
0.717377 0.205763 7895.46 0.0311147 206.557 0.0334929
0.981731 0.752323 7812.12 0.274075 89.4527 0.0170783
0.424631 0.208667 7894.16 1.24616 13.0017 0.0104048
0.437619 0.213621 7893.3 1.45335 10.959 0.00208825
0.453231 0.2141 7892.84 1.49829 10.5943 0.00138589
0.45251 0.214572 7892.81 1.49987 10.5619 0.0123378
0.45246 0.213767 7892.91 1.4954 10.6562 0.00902926
0.447067 0.213034 7893.05 1.43435 11.0608 0.0143491
0.19685 0.216145 7950.12 0.61732 14.2045 0.0241517
0.448787 0.216624 7892.71 1.45554 10.5928 0.0131833
0.453247 0.214162 7892.8 1.49887 10.5644 0.015744
0.803965 0.221525 8029.6 1.05292 45.0056 0.0142694
0.0822526 0.220118 7876.24 1.4706 27.3923 0.0131874
0.451938 0.214309 7892.83 1.49983 10.5679 0.00852814
0.0344052 0.22154 7154.96 1.19614 264.409 0.0117212
0.45311 0.214399 7892.81 1.49922 10.5311 0.00190789
0.452716 0.214269 7892.82 1.5 10.5573 0.0347261
0.41808 0.215146 7894.21 0.701311 19.101 0.00427962
0.469615 0.216542 7892.16 1.43478 10.644 0.00635168
0.452689 0.214269 7892.84 1.49971 10.5542 0.0120421
0.452014 0.214251 7892.84 1.49889 10.6069 0.00592359
0.451569 0.21459 7892.72 1.49384 10.5536 0.00658364
0.492311 0.22214 7887.71 0.3773 27.946 0.00250202
0.864323 0.88984 7428.36 1.48059 340.311 0.00587796
0.488027 0.229559 7892.91 1.15471 8.63728 0.00125842
0.534009 0.182524 7671.61 0.435942 53.4244 0.0210522
0.599961 0.946174 7622.79 1.12214 246.22 0.0281909
0.485318 0.212771 7117.88 0.360998 69.8 0.0128013
0.449376 0.21349 7892.99 1.49558 10.6877 0.0149097
0.452434 0.214115 7892.82 1.49915 10.5668 0.00457141
0.19462 0.229862 7883.53 0.480655 32.9238 0.00365577
0.492882 0.217378 7893.16 0.681214 15.9905 0.0112491
0.765752 0.211589 7891.5 0.526575 16.074 0.0269974
0.452632 0.214363 7892.81 1.49973 10.5595 0.00405105
0.320514 0.143446 7216.4 0.226426 20.1107 0.0366214
0.944617 0.724766 7969.88 0.629744 106.154 0.000677158
0.343982 0.208261 7910.69 0.573278 6.23443 0.00498948
0.452067 0.214192 7892.81 1.5 10.573 0.00389938
0.452689 0.214199 7892.82 1.49986 10.563 0.00415593
0.442883 0.214829 7893.02 1.34747 11.4865 1.08174e-05
0.450417 0.215931 7893.04 1.40477 10.9991 0.0119451
0.453846 0.213876 7892.9 1.49965 10.5263 0.00292763
0.449722 0.214858 7892.97 1.4925 10.6489 0.0138176
0.267446 0.115704 7108.11 1.15655 18.0107 0.0230618
0.4531 0.214717 7892.76 1.46656 10.6612 0.00343772
0.36288 0.207386 7894.7 0.243938 35.7489 0.00704414
0.453263 0.213886 7892.83 1.49748 10.4883 0.000156972
0.450021 0.215213 7892.96 1.47334 10.513 0.00737355
0.451909 0.214425 7892.77 1.49975 10.5833 0.0116741
0.644765 0.0616155 7990.28 0.0497152 44.9465 0.0247989
0.452286 0.214223 7892.83 1.49999 10.5626 0.0199586
0.455137 0.213946 7892.81 1.49956 10.5537 0.00514839
0.453178 0.214305 7892.8 1.49952 10.5612 0.00366064
0.560259 0.212723 7891.03 1.31025 10.5928 0.00333194
0.452555 0.214082 7892.82 1.49985 10.566 0.0326177
0.45234 0.214242 7892.81 1.49991 10.5629 0.0479329
0.0284161 0.15655 7086.29 0.158414 71.9288 0.0131205
0.460973 0.212802 7892.76 1.4447 10.9045 0.0255015
0.281266 0.00366195 7964.03 0.109834 86.3608 0.0138539
0.390352 0.233493 7795.31 0.107351 50.5963 0.000587696
0.0362213 0.273904 7078.98 0.326317 38.1669 0.0166594
0.0909509 0.213191 7075.73 0.105616 3.6218 0.00453817
0.791363 0.0781069 7496.43 0.327263 39.1214 0.00223085
0.492378 0.2532 7886.51 0.021083 171.052 0.000363373
0.242398 0.199391 7900.74 0.685738 23.71 0.00105486
0.278049 0.12381 7413 0.463442 198.974 0.0111367
0.452451 0.214241 7892.82 1.49989 10.5481 0.0169104
0.452984 0.214165 7892.81 1.49911 10.5539 0.0101497
0.429123 0.215513 7894.53 0.839764 14.8894 0.0469648
