#  DeltaF, Fb, t0, u0, tE, rho
# 
4.692709999999999937e-01 2.138410000000000033e-01 7.892670000000000073e+03 9.258790000000000076e-01 1.513069999999999915e+01 1.512739999999999918e-02
4.269729999999999914e-01 1.973040000000000072e-01 7.891789999999999964e+03 6.719079999999999497e-01 2.055570000000000164e+01 8.786620000000000194e-03
4.406149999999999789e-01 2.263640000000000096e-01 7.893750000000000000e+03 1.367340000000000000e+00 1.007019999999999982e+01 9.647700000000000373e-03
4.707319999999999838e-01 2.225920000000000121e-01 7.891689999999999600e+03 9.846129999999999605e-01 1.309159999999999968e+01 1.971020000000000064e-02
7.493980000000000086e-01 2.130460000000000131e-01 7.885710000000000036e+03 1.352389999999999981e+00 7.929009999999999891e+00 2.180479999999999918e-02
4.362019999999999786e-01 2.162380000000000135e-01 7.891359999999999673e+03 1.261660000000000004e+00 1.180150000000000077e+01 1.038769999999999971e-02
4.522479999999999833e-01 2.062460000000000127e-01 7.892949999999999818e+03 9.723650000000000349e-01 1.379439999999999955e+01 1.469320000000000001e-02
4.814180000000000126e-01 2.239770000000000094e-01 7.892220000000000255e+03 9.277490000000000459e-01 1.410069999999999979e+01 9.293320000000000747e-03
4.619500000000000273e-01 2.085190000000000099e-01 7.891130000000000109e+03 1.219780000000000086e+00 1.292709999999999937e+01 1.176630000000000037e-02
4.965890000000000026e-01 2.139719999999999955e-01 7.894609999999999673e+03 4.795420000000000238e-01 2.126350000000000051e+01 2.085330000000000170e-02
5.155140000000000278e-01 2.133680000000000021e-01 7.891960000000000036e+03 1.458579999999999988e+00 1.028219999999999956e+01 5.286489999999999592e-04
8.266829999999999457e-01 2.109260000000000024e-01 7.886020000000000437e+03 1.058140000000000081e+00 9.835979999999999279e+00 5.051079999999999893e-04
5.059730000000000061e-01 2.138680000000000025e-01 7.891159999999999854e+03 8.618930000000000202e-01 1.132820000000000071e+01 5.124139999999999901e-04
4.245950000000000002e-01 2.124379999999999880e-01 7.894300000000000182e+03 1.433130000000000015e+00 9.813829999999999387e+00 1.077050000000000056e-02
5.132619999999999960e-01 2.108019999999999894e-01 7.890989999999999782e+03 1.455559999999999965e+00 1.141409999999999947e+01 1.845200000000000019e-04
6.374220000000000441e-01 2.158170000000000088e-01 7.889289999999999964e+03 3.549619999999999997e-01 2.115680000000000049e+01 1.941079999999999889e-02
8.642739999999999867e-01 2.101379999999999915e-01 7.886239999999999782e+03 5.560990000000000100e-01 1.449890000000000079e+01 7.523580000000000198e-03
4.657810000000000006e-01 2.246900000000000008e-01 7.893369999999999891e+03 6.909009999999999874e-01 1.594710000000000072e+01 2.513829999999999884e-02
5.604339999999999877e-01 2.237129999999999952e-01 7.889970000000000255e+03 1.017300000000000093e+00 1.022889999999999944e+01 7.312370000000000328e-04
8.645610000000000239e-01 2.130710000000000104e-01 7.886250000000000000e+03 6.895419999999999883e-01 1.131840000000000046e+01 1.507670000000000017e-02
4.854930000000000079e-01 2.141149999999999998e-01 7.890960000000000036e+03 2.874399999999999733e-01 2.942180000000000106e+01 1.959339999999999953e-03
4.394460000000000033e-01 2.161200000000000065e-01 7.893109999999999673e+03 7.241429999999999811e-01 1.749840000000000018e+01 3.737859999999999967e-03
6.387129999999999752e-01 2.125360000000000027e-01 7.890659999999999854e+03 9.898200000000000331e-01 1.284580000000000055e+01 1.649070000000000093e-03
4.943980000000000041e-01 2.170850000000000002e-01 7.891579999999999927e+03 1.038729999999999931e+00 1.200859999999999950e+01 1.082400000000000029e-02
9.950489999999999613e-01 2.188410000000000077e-01 7.885750000000000000e+03 9.784669999999999757e-01 8.077209999999999113e+00 6.093420000000000433e-03
4.093359999999999776e-01 2.138599999999999945e-01 7.893500000000000000e+03 1.437319999999999931e+00 1.161239999999999917e+01 1.265910000000000082e-03
4.633340000000000236e-01 2.144330000000000125e-01 7.890569999999999709e+03 9.180350000000000454e-01 1.562040000000000006e+01 1.213040000000000028e-04
3.702509999999999968e-01 2.096419999999999950e-01 7.893789999999999964e+03 6.168580000000000174e-01 2.205740000000000123e+01 1.983809999999999914e-03
4.546350000000000113e-01 2.212339999999999862e-01 7.891630000000000109e+03 1.194600000000000106e+00 1.216070000000000029e+01 2.157560000000000033e-02
4.979660000000000197e-01 2.121780000000000055e-01 7.893140000000000327e+03 1.346950000000000092e+00 9.803779999999999717e+00 3.972269999999999968e-03
4.337639999999999829e-01 2.081089999999999884e-01 7.893140000000000327e+03 1.206280000000000019e+00 1.294730000000000025e+01 1.268460000000000117e-04
9.472319999999999629e-01 2.298260000000000025e-01 7.884500000000000000e+03 5.404510000000000147e-01 1.215889999999999915e+01 6.128630000000000362e-03
9.107049999999999867e-01 2.143619999999999970e-01 7.885760000000000218e+03 5.039690000000000003e-01 1.539020000000000010e+01 1.095609999999999987e-02
8.155750000000000499e-01 2.173980000000000079e-01 7.886289999999999964e+03 8.238450000000000495e-01 1.037800000000000011e+01 3.225860000000000099e-03
4.451519999999999921e-01 2.029320000000000013e-01 7.894600000000000364e+03 1.060130000000000017e+00 1.538940000000000019e+01 5.905020000000000407e-03
4.277099999999999791e-01 2.108339999999999936e-01 7.895579999999999927e+03 5.759790000000000187e-01 1.864509999999999934e+01 1.859809999999999935e-02
8.349910000000000387e-01 2.161349999999999938e-01 7.886289999999999964e+03 1.413170000000000037e+00 7.686860000000000248e+00 2.431350000000000091e-03
3.503120000000000123e-01 2.158990000000000076e-01 7.895939999999999600e+03 7.358890000000000153e-01 1.882989999999999853e+01 3.841900000000000089e-03
4.284439999999999915e-01 2.144250000000000045e-01 7.894840000000000146e+03 1.102859999999999951e+00 1.211200000000000010e+01 9.205450000000000438e-03
4.852279999999999927e-01 2.237530000000000074e-01 7.892229999999999563e+03 7.110760000000000414e-01 1.530799999999999983e+01 3.250279999999999836e-02
4.197719999999999785e-01 2.261330000000000007e-01 7.889949999999999818e+03 9.345849999999999991e-01 1.327909999999999968e+01 5.977829999999999949e-03
8.010190000000000365e-01 2.146280000000000132e-01 7.885590000000000146e+03 1.462530000000000108e+00 8.351119999999999877e+00 1.231439999999999965e-02
3.868630000000000124e-01 2.185469999999999913e-01 7.892710000000000036e+03 8.734100000000000197e-01 1.752540000000000120e+01 5.616809999999999858e-03
8.266829999999999457e-01 2.109260000000000024e-01 7.886020000000000437e+03 1.058140000000000081e+00 9.835979999999999279e+00 5.051079999999999893e-04
4.046600000000000197e-01 2.118859999999999910e-01 7.893319999999999709e+03 3.550420000000000242e-01 2.837290000000000134e+01 1.630689999999999917e-02
4.164140000000000064e-01 2.036759999999999959e-01 7.893529999999999745e+03 9.523500000000000298e-01 1.511090000000000089e+01 4.433460000000000178e-02
4.806619999999999782e-01 2.131180000000000019e-01 7.892260000000000218e+03 1.006000000000000005e+00 1.213909999999999911e+01 9.035390000000000782e-03
8.003259999999999819e-01 2.199730000000000019e-01 7.886800000000000182e+03 7.294380000000000308e-01 1.176229999999999976e+01 3.173549999999999809e-03
4.737000000000000099e-01 1.996310000000000029e-01 7.895869999999999891e+03 3.600869999999999904e-01 2.115119999999999933e+01 1.717700000000000130e-02
5.081369999999999498e-01 2.146710000000000007e-01 7.891039999999999964e+03 1.374440000000000106e+00 1.147540000000000049e+01 9.172380000000000810e-03
9.222289999999999655e-01 2.144060000000000132e-01 7.886260000000000218e+03 1.475079999999999947e+00 6.562090000000000423e+00 5.716169999999999585e-04
4.327929999999999833e-01 2.113649999999999973e-01 7.894279999999999745e+03 1.204329999999999901e+00 1.221770000000000067e+01 1.938190000000000052e-02
4.501149999999999873e-01 2.128559999999999897e-01 7.894619999999999891e+03 7.783529999999999616e-01 1.846559999999999846e+01 1.173500000000000064e-02
9.779809999999999892e-01 2.218279999999999974e-01 7.884970000000000255e+03 7.811339999999999950e-01 9.796369999999999578e+00 8.637119999999999867e-03
3.804379999999999984e-01 2.152930000000000121e-01 7.894949999999999818e+03 9.409520000000000106e-01 1.751719999999999899e+01 1.012599999999999958e-02
9.532089999999999730e-01 2.132130000000000136e-01 7.884569999999999709e+03 3.433300000000000241e-01 1.897459999999999880e+01 3.536040000000000016e-02
5.597940000000000138e-01 2.158200000000000118e-01 7.888960000000000036e+03 1.253169999999999895e+00 1.045340000000000025e+01 2.053829999999999892e-02
4.503260000000000041e-01 2.107189999999999896e-01 7.892640000000000327e+03 1.327990000000000004e+00 1.240920000000000023e+01 1.129020000000000024e-02
8.353239999999999554e-01 2.219319999999999904e-01 7.886159999999999854e+03 1.430129999999999901e+00 7.177369999999999806e+00 2.776680000000000120e-03
5.660650000000000404e-01 2.161270000000000135e-01 7.892720000000000255e+03 1.468650000000000011e+00 1.048760000000000048e+01 1.776399999999999854e-02
9.778700000000000170e-01 2.274889999999999968e-01 7.885850000000000364e+03 1.388349999999999973e+00 6.407490000000000130e+00 1.472870000000000082e-02
4.050449999999999884e-01 2.161039999999999905e-01 7.895130000000000109e+03 8.052129999999999566e-01 1.611840000000000117e+01 5.301590000000000176e-05
7.099539999999999740e-01 2.173589999999999967e-01 7.888140000000000327e+03 6.159369999999999568e-01 1.539250000000000007e+01 7.262079999999999751e-03
4.867799999999999905e-01 2.104969999999999897e-01 7.890829999999999927e+03 1.273279999999999967e+00 1.152699999999999925e+01 1.969169999999999948e-02
4.821329999999999782e-01 2.166639999999999955e-01 7.891090000000000146e+03 9.584890000000000354e-01 1.589830000000000076e+01 1.888270000000000053e-03
3.443689999999999807e-01 2.132830000000000004e-01 7.893970000000000255e+03 1.415999999999999925e+00 1.127379999999999960e+01 2.041230000000000214e-03
4.135510000000000019e-01 2.157709999999999906e-01 7.891979999999999563e+03 1.440720000000000001e+00 1.127169999999999916e+01 1.670409999999999950e-02
